contract_number,Date Signed,Vendor Name,Award Amount
C-103617,"Oct 04, 2010",Marina Holdings,"$4,806,755"
C-419252,2015-08-07,Marina Holdings,"$198,134"
C-365215,05/26/2016,Tech Solutions,"$309,363"
C-709160,11/22/2018,Bajos LLC,"$9,418,803"
C-264715,"Jan 24, 2014",Bajos LLC,"$8,404,530"
C-685972,"Sep 02, 2011",Tech Solutions,"$1,502,371"
C-241205,05/22/2017,Servicios Unidos,"$4,668,636"
C-068266,2016-04-24,Bajos LLC,"$9,149,433"
C-962452,2018-06-13,Tech Solutions,"$2,083,148"
C-351230,04/03/2018,Marina Holdings,"$8,697,366"
C-194587,2019-05-30,Marina Holdings,"$922,944"
C-660616,2014-09-02,Marina Holdings,"$595,805"
C-125646,2014-07-06,Tech Solutions,"$5,640,338"
C-262528,"Apr 06, 2011",Island Builders,"$4,038,791"
C-231752,"Aug 03, 2017",Bajos LLC,"$4,734,764"
C-486196,06/24/2013,Universal Contractors,"$7,473,121"
C-535940,"Mar 01, 2015",Acme Corp,"$7,114,260"
C-021287,06/01/2010,Servicios Unidos,"$7,289,642"
C-048673,05/12/2012,Universal Contractors,"$7,176,862"
C-864708,"Sep 07, 2017",Acme Corp,"$4,733,567"
C-538421,10/05/2012,Acme Corp,"$5,192,840"
C-820677,"Sep 09, 2016",Island Builders,"$6,785,620"
C-257301,"Jan 31, 2014",Universal Contractors,"$1,796,794"
C-107903,04/24/2012,Universal Contractors,"$2,947,979"
C-207655,2010-12-06,Global Supply,"$5,027,400"
C-907355,12/09/2019,Servicios Unidos,"$7,941,477"
C-503496,2017-07-24,Acme Corp,"$4,205,822"
C-226007,10/22/2014,Global Supply,"$7,690,705"
C-559010,2012-07-05,Universal Contractors,"$3,264,321"
C-561991,09/29/2015,Bajos LLC,"$3,826,843"
C-381774,2019-02-13,Global Supply,"$7,363,265"
C-503407,"Jul 25, 2014",Global Supply,"$6,694,641"
C-535879,06/06/2015,Servicios Unidos,"$6,099,723"
C-682609,09/24/2013,Acme Corp,"$289,599"
C-673232,11/02/2011,Universal Contractors,"$3,139,640"
C-707381,04/19/2019,Global Supply,"$4,917,719"
C-905138,"Dec 07, 2011",Tech Solutions,"$4,616,896"
C-365383,2012-10-03,Tech Solutions,"$2,981,645"
C-688276,09/05/2015,Global Supply,"$1,361,321"
C-897979,11/29/2016,Bajos LLC,"$4,066,469"
C-522121,2017-03-30,Acme Corp,"$1,738,600"
C-715307,2015-07-10,Acme Corp,"$6,757,187"
C-920362,"Jun 20, 2017",Construcciones PR,"$691,072"
C-634078,2010-11-21,Tech Solutions,"$7,420,311"
C-537605,06/30/2010,Servicios Unidos,"$5,627,713"
C-843910,2011-04-08,Global Supply,"$3,748,068"
C-458290,"May 07, 2011",Acme Corp,"$5,284,745"
C-510326,"Mar 27, 2010",Universal Contractors,"$770,805"
C-167413,2015-08-26,Construcciones PR,"$7,387,894"
C-435888,04/17/2018,Bajos LLC,"$224,630"
C-791277,10/07/2011,Universal Contractors,"$3,319,866"
C-633739,"Sep 15, 2015",Servicios Unidos,"$3,396,951"
C-078080,08/09/2014,Tech Solutions,"$4,948,725"
C-632957,10/10/2010,Universal Contractors,"$7,686,195"
C-980207,2016-11-24,Marina Holdings,"$1,504,966"
C-633363,08/02/2017,Global Supply,"$1,115,611"
C-009906,"Sep 22, 2010",Universal Contractors,"$1,011,361"
C-799237,2013-01-26,Universal Contractors,"$4,986,589"
C-953735,2018-01-13,Servicios Unidos,"$101,434"
C-205435,"May 20, 2015",Island Builders,"$2,188,245"
C-382980,05/23/2016,Bajos LLC,"$7,940,082"
C-677870,"Jul 23, 2013",Marina Holdings,"$4,638,307"
C-091892,2013-12-03,Bajos LLC,"$8,197,280"
C-132988,07/06/2015,Construcciones PR,"$9,201,055"
C-544855,10/11/2019,Construcciones PR,"$4,610,638"
C-453467,"Dec 12, 2015",Island Builders,"$7,752,108"
C-867313,2013-11-25,Universal Contractors,"$6,837,543"
C-119762,2019-10-25,Island Builders,"$1,909,530"
C-920088,2014-08-29,Island Builders,"$2,015,148"
C-457230,05/04/2015,Servicios Unidos,"$9,614,428"
C-076738,2010-09-20,Universal Contractors,"$8,641,715"
C-297963,"Jun 19, 2018",Tech Solutions,"$7,395,590"
C-539096,04/28/2019,Bajos LLC,"$9,090,054"
C-070132,08/07/2019,Marina Holdings,"$1,358,180"
C-719076,"Apr 20, 2018",Servicios Unidos,"$4,866,777"
C-056740,01/31/2017,Marina Holdings,"$2,816,184"
C-190814,2013-12-31,Construcciones PR,"$2,163,879"
C-696634,2019-03-11,Tech Solutions,"$9,681,394"
C-753809,12/06/2019,Construcciones PR,"$927,808"
C-928701,2018-11-25,Global Supply,"$6,872,697"
C-927827,2019-10-03,Acme Corp,"$8,082,503"
C-110926,"Nov 20, 2018",Marina Holdings,"$6,556,687"
C-929492,11/08/2010,Construcciones PR,"$1,133,216"
C-501022,2016-04-29,Marina Holdings,"$1,261,725"
C-709117,06/07/2012,Construcciones PR,"$8,410,417"
C-160793,2013-02-15,Island Builders,"$8,717,198"
C-086820,"May 31, 2019",Construcciones PR,"$9,714,082"
C-133766,05/04/2014,Universal Contractors,"$7,519,023"
C-981803,08/04/2012,Bajos LLC,"$422,324"
C-648757,02/26/2018,Servicios Unidos,"$2,664,597"
C-798389,2019-12-05,Construcciones PR,"$3,112,298"
C-244518,"May 07, 2016",Construcciones PR,"$2,230,531"
C-883970,2012-04-02,Global Supply,"$7,363,706"
C-372783,2010-04-29,Universal Contractors,"$4,528,826"
C-552768,01/03/2013,Tech Solutions,"$8,857,538"
C-948078,03/26/2010,Servicios Unidos,"$363,342"
C-604405,"Aug 27, 2019",Construcciones PR,"$946,724"
C-501978,2017-11-25,Marina Holdings,"$6,795,853"
C-028548,07/01/2015,Island Builders,"$2,456,305"
C-654689,2015-11-11,Universal Contractors,"$1,696,669"
C-384797,2011-11-29,Construcciones PR,"$9,333,769"
C-491905,"Aug 13, 2012",Island Builders,"$5,311,122"
C-571568,05/22/2010,Servicios Unidos,"$3,572,490"
C-101957,"May 10, 2012",Bajos LLC,"$5,933,830"
C-692541,2016-07-07,Servicios Unidos,"$802,905"
C-898958,2018-08-19,Universal Contractors,"$7,224,909"
C-243962,2012-08-20,Universal Contractors,"$155,834"
C-283976,"Jul 29, 2018",Island Builders,"$3,690,517"
C-739118,"Sep 21, 2016",Island Builders,"$7,569,494"
C-158079,2019-03-27,Marina Holdings,"$1,549,534"
C-458016,09/13/2010,Acme Corp,"$4,997,016"
C-769771,09/23/2015,Bajos LLC,"$9,345,002"
C-827019,"Apr 28, 2010",Acme Corp,"$333,806"
C-816453,2017-10-10,Servicios Unidos,"$252,169"
C-234588,2012-10-10,Bajos LLC,"$9,802,141"
C-616618,2013-09-11,Acme Corp,"$953,078"
C-962147,06/18/2011,Universal Contractors,"$7,570,795"
C-801148,2014-11-22,Servicios Unidos,"$3,681,510"
C-209479,07/23/2014,Construcciones PR,"$9,123,621"
C-905803,07/27/2012,Universal Contractors,"$5,134,412"
C-697348,"Nov 23, 2019",Universal Contractors,"$5,835,635"
C-001843,10/10/2018,Global Supply,"$2,826,716"
C-010860,"Nov 17, 2018",Construcciones PR,"$1,300,419"
C-729672,"Oct 05, 2016",Tech Solutions,"$6,103,068"
C-912184,06/01/2018,Island Builders,"$1,296,843"
C-444248,"Jun 03, 2015",Marina Holdings,"$8,007,746"
C-583150,10/19/2012,Construcciones PR,"$4,691,774"
C-308337,03/23/2017,Island Builders,"$7,841,819"
C-761908,01/22/2012,Construcciones PR,"$6,944,536"
C-211069,08/04/2013,Construcciones PR,"$519,112"
C-418762,"Nov 27, 2010",Acme Corp,"$550,191"
C-066080,2010-08-28,Acme Corp,"$852,420"
C-776122,08/01/2012,Tech Solutions,"$1,496,923"
C-625163,05/30/2013,Servicios Unidos,"$5,244,381"
C-201749,2013-12-17,Marina Holdings,"$3,337,215"
C-636640,2012-11-06,Global Supply,"$5,235,528"
C-988784,02/25/2017,Universal Contractors,"$972,090"
C-454817,2015-10-24,Acme Corp,"$5,673,676"
C-524141,08/24/2010,Marina Holdings,"$6,280,926"
C-168630,2015-08-21,Marina Holdings,"$8,204,741"
C-031680,06/29/2011,Servicios Unidos,"$5,548,257"
C-912394,"Sep 06, 2014",Construcciones PR,"$4,842,094"
C-803278,"Mar 25, 2010",Tech Solutions,"$7,870,643"
C-795273,"Apr 05, 2019",Bajos LLC,"$2,885,137"
C-859957,"Sep 19, 2013",Acme Corp,"$8,635,204"
C-576151,"Feb 28, 2010",Bajos LLC,"$9,790,123"
C-907104,05/06/2015,Island Builders,"$7,543,180"
C-868815,2016-09-20,Marina Holdings,"$2,944,968"
C-017747,"Nov 21, 2014",Bajos LLC,"$5,822,749"
C-186243,10/06/2011,Construcciones PR,"$6,110,506"
C-064594,"Dec 10, 2010",Construcciones PR,"$2,299,422"
C-997314,02/20/2013,Universal Contractors,"$1,827,399"
C-327745,2010-03-22,Acme Corp,"$8,754,769"
C-488557,2018-09-26,Island Builders,"$1,455,412"
C-638196,01/18/2015,Tech Solutions,"$8,874,729"
C-523540,"Jun 02, 2011",Tech Solutions,"$1,501,607"
C-044595,2010-07-14,Island Builders,"$9,557,335"
C-808168,"Jul 03, 2012",Construcciones PR,"$2,041,450"
C-122951,09/18/2011,Global Supply,"$4,642,840"
C-998003,08/16/2010,Servicios Unidos,"$3,065,773"
C-184405,04/10/2014,Tech Solutions,"$780,578"
C-769564,2017-07-04,Universal Contractors,"$4,168,382"
C-385430,07/09/2013,Marina Holdings,"$2,230,026"
C-896107,12/24/2019,Island Builders,"$2,296,882"
C-969884,06/26/2014,Island Builders,"$9,391,734"
C-451076,"Dec 10, 2015",Island Builders,"$250,528"
C-127290,"Jan 14, 2015",Universal Contractors,"$2,544,378"
C-315158,01/03/2014,Construcciones PR,"$606,885"
C-273169,"Nov 02, 2014",Global Supply,"$7,310,415"
C-997556,05/09/2016,Universal Contractors,"$6,346,937"
C-241745,2018-12-10,Global Supply,"$3,205,168"
C-515602,2015-06-23,Tech Solutions,"$7,269"
C-685098,04/15/2018,Acme Corp,"$3,033,339"
C-978416,03/05/2017,Acme Corp,"$2,377,286"
C-763308,05/25/2012,Island Builders,"$6,595,625"
C-011359,"Dec 19, 2014",Island Builders,"$1,365,484"
C-149446,2016-01-09,Construcciones PR,"$3,248,991"
C-549037,"Mar 26, 2015",Universal Contractors,"$9,580,428"
C-800657,01/31/2018,Universal Contractors,"$464,254"
C-395303,03/05/2011,Bajos LLC,"$142,026"
C-923897,08/19/2010,Acme Corp,"$2,226,048"
C-741586,2016-04-29,Construcciones PR,"$6,280,601"
C-623809,2012-12-04,Tech Solutions,"$2,955,961"
C-075851,04/19/2018,Global Supply,"$9,211,816"
C-792819,06/29/2012,Servicios Unidos,"$5,394,726"
C-876015,11/16/2012,Construcciones PR,"$7,468,501"
C-291268,"Jan 01, 2016",Tech Solutions,"$5,682,768"
C-819635,"Nov 17, 2014",Bajos LLC,"$26,845"
C-829441,03/21/2013,Universal Contractors,"$2,719,779"
C-774159,2015-05-10,Global Supply,"$1,378,096"
C-102751,2013-06-03,Tech Solutions,"$1,772,135"
C-679393,2017-01-18,Marina Holdings,"$4,659,965"
C-444417,"Mar 29, 2011",Marina Holdings,"$1,801,512"
C-107469,07/18/2019,Servicios Unidos,"$3,825,621"
C-380930,04/05/2016,Island Builders,"$5,050,287"
C-987445,2012-03-18,Acme Corp,"$8,329,143"
C-072666,10/18/2013,Construcciones PR,"$7,092,771"
C-101687,2017-05-24,Acme Corp,"$1,093,734"
C-299125,2014-06-29,Universal Contractors,"$7,897,526"
C-980611,04/24/2016,Bajos LLC,"$747,812"
C-814341,"Apr 09, 2016",Global Supply,"$5,206,756"
C-553337,"Mar 31, 2014",Universal Contractors,"$7,706,484"
C-253995,"Dec 19, 2019",Island Builders,"$6,587,340"
C-555270,"Jun 08, 2011",Servicios Unidos,"$3,593,228"
C-465335,"Jun 09, 2018",Servicios Unidos,"$2,684,157"
C-677954,2016-08-25,Universal Contractors,"$9,104,369"
C-479245,"Jun 10, 2011",Marina Holdings,"$2,379,993"
C-646524,"Apr 30, 2017",Bajos LLC,"$8,998,809"
C-785687,"May 29, 2019",Bajos LLC,"$9,206,941"
C-778563,12/29/2014,Island Builders,"$399,680"
C-942524,09/03/2016,Universal Contractors,"$5,656,157"
C-966501,"May 04, 2013",Acme Corp,"$3,946,328"
C-126982,09/12/2010,Universal Contractors,"$4,308,791"
C-291411,"Mar 27, 2013",Marina Holdings,"$1,645,176"
C-945552,2015-09-14,Construcciones PR,"$4,720,246"
C-109479,08/31/2018,Island Builders,"$3,131,423"
C-218831,"Jun 21, 2010",Construcciones PR,"$3,630,657"
C-708347,"Feb 03, 2010",Global Supply,"$3,726,086"
C-494905,"May 16, 2017",Construcciones PR,"$5,407,853"
C-908703,02/28/2016,Bajos LLC,"$3,767,199"
C-610497,"May 23, 2010",Universal Contractors,"$956,624"
C-079690,"Jul 23, 2019",Servicios Unidos,"$5,984,112"
C-125161,"Feb 17, 2011",Bajos LLC,"$7,393,302"
C-751347,"Sep 25, 2018",Bajos LLC,"$8,411,938"
C-447399,2017-08-21,Universal Contractors,"$6,057,048"
C-528881,12/28/2018,Universal Contractors,"$2,749,505"
C-850168,"Oct 26, 2013",Bajos LLC,"$9,525,156"
C-234761,2016-11-01,Island Builders,"$9,108,064"
C-260803,"Apr 14, 2014",Marina Holdings,"$5,505,510"
C-006868,2019-12-29,Island Builders,"$9,021,302"
C-003064,"Jul 09, 2013",Universal Contractors,"$3,911,261"
C-627481,2016-06-13,Tech Solutions,"$8,905,249"
C-396550,12/25/2014,Servicios Unidos,"$7,476,005"
C-507502,08/25/2014,Servicios Unidos,"$6,716,656"
C-211127,"May 27, 2011",Construcciones PR,"$1,184,307"
C-630404,12/04/2014,Marina Holdings,"$9,890,811"
C-043061,07/11/2010,Bajos LLC,"$5,677,072"
C-138224,"Jul 21, 2019",Servicios Unidos,"$2,324,393"
C-902743,"May 30, 2010",Tech Solutions,"$4,471,071"
C-086364,"Jun 24, 2011",Island Builders,"$8,257,805"
C-078288,06/18/2017,Global Supply,"$1,171,200"
C-307485,08/28/2015,Construcciones PR,"$2,667,642"
C-787913,"Sep 03, 2019",Marina Holdings,"$768,892"
C-950526,"Nov 02, 2014",Bajos LLC,"$3,824,594"
C-429247,2014-08-18,Global Supply,"$749,187"
C-528236,2019-05-01,Marina Holdings,"$6,437,520"
C-039718,"Dec 21, 2014",Tech Solutions,"$9,263,288"
C-128144,08/08/2012,Construcciones PR,"$105,109"
C-332292,"Mar 11, 2013",Universal Contractors,"$5,275,394"
C-658247,2012-11-12,Servicios Unidos,"$9,195,793"
C-162549,"Jan 09, 2010",Servicios Unidos,"$8,772,383"
C-708143,08/31/2019,Construcciones PR,"$7,073,162"
C-175474,"Jul 16, 2017",Acme Corp,"$3,118,996"
C-530955,2013-09-07,Acme Corp,"$742,204"
C-551110,"Feb 21, 2012",Tech Solutions,"$5,467,102"
C-674721,01/29/2013,Island Builders,"$3,829,313"
C-295667,"Nov 05, 2014",Global Supply,"$4,396,211"
C-126763,"Nov 04, 2015",Construcciones PR,"$6,569,887"
C-485979,05/05/2018,Island Builders,"$8,614,760"
C-693125,"Jul 14, 2016",Tech Solutions,"$121,763"
C-191513,2014-10-28,Bajos LLC,"$3,753,017"
C-136917,2013-05-01,Universal Contractors,"$882,666"
C-708009,"Aug 10, 2017",Bajos LLC,"$1,812,051"
C-094720,01/04/2016,Global Supply,"$4,701,684"
C-970714,01/25/2012,Marina Holdings,"$7,865,749"
C-956673,2018-10-19,Construcciones PR,"$5,416,199"
C-999363,2019-09-29,Bajos LLC,"$9,176,010"
C-490509,2019-07-06,Marina Holdings,"$436,160"
C-819307,04/22/2015,Bajos LLC,"$2,992,532"
C-957525,04/16/2011,Construcciones PR,"$4,490,021"
C-370620,"Feb 06, 2019",Marina Holdings,"$8,747,044"
C-867665,"Jul 01, 2017",Tech Solutions,"$7,058,067"
C-351298,09/27/2012,Marina Holdings,"$694,079"
C-608688,"Nov 27, 2010",Marina Holdings,"$8,890,841"
C-344227,07/24/2017,Construcciones PR,"$402,629"
C-060375,10/08/2014,Global Supply,"$2,552,047"
C-666873,2019-10-10,Tech Solutions,"$6,312,881"
C-637938,02/26/2011,Global Supply,"$523,596"
C-907714,"Dec 05, 2012",Universal Contractors,"$1,874,580"
C-296960,2015-06-27,Island Builders,"$636,833"
C-968598,09/19/2018,Island Builders,"$7,429,596"
C-304088,2017-01-16,Construcciones PR,"$8,441,468"
C-894911,"Dec 17, 2019",Universal Contractors,"$3,923,441"
C-289052,"Jun 01, 2011",Tech Solutions,"$3,149,770"
C-966386,08/22/2013,Marina Holdings,"$7,492,521"
C-825980,10/27/2014,Construcciones PR,"$8,437,451"
C-283211,2013-04-15,Island Builders,"$5,120,251"
C-991581,2019-09-23,Servicios Unidos,"$7,646,999"
C-312926,"Feb 27, 2014",Acme Corp,"$1,158,076"
C-449621,"Aug 28, 2014",Construcciones PR,"$6,753,051"
C-176264,01/18/2016,Marina Holdings,"$1,092,107"
C-670987,2010-07-14,Acme Corp,"$7,533,166"
C-396966,2010-12-28,Marina Holdings,"$1,876,403"
C-455545,"Apr 23, 2016",Marina Holdings,"$7,903,802"
C-972215,2017-08-15,Servicios Unidos,"$1,763,875"
C-626944,01/12/2018,Universal Contractors,"$6,118,305"
C-337354,2010-07-02,Tech Solutions,"$1,741,055"
C-574007,12/14/2019,Universal Contractors,"$5,579,725"
C-239621,2014-11-18,Bajos LLC,"$8,171,021"
C-013285,"Jul 03, 2012",Construcciones PR,"$1,786,768"
C-408749,2014-11-24,Universal Contractors,"$6,450,492"
C-985755,2017-01-24,Marina Holdings,"$5,077,284"
C-836325,01/26/2012,Island Builders,"$880,037"
C-406572,"Jan 29, 2013",Marina Holdings,"$8,569,329"
C-031953,05/13/2016,Island Builders,"$9,832,755"
C-835128,2019-02-01,Marina Holdings,"$1,795,585"
C-206195,"Oct 05, 2016",Marina Holdings,"$7,170,647"
C-096916,"May 25, 2018",Marina Holdings,"$9,169,993"
C-927468,"Jul 01, 2016",Marina Holdings,"$1,385,399"
C-707015,"Jul 22, 2014",Universal Contractors,"$2,539,721"
C-808062,"Jan 20, 2012",Acme Corp,"$1,322,520"
C-625608,01/01/2010,Global Supply,"$4,950,016"
C-896007,2014-10-04,Tech Solutions,"$8,853,555"
C-696956,2018-05-05,Marina Holdings,"$2,574,268"
C-529047,02/04/2019,Global Supply,"$9,665,713"
C-421412,2016-11-27,Construcciones PR,"$67,763"
C-711799,"Apr 02, 2013",Universal Contractors,"$5,154,483"
C-673814,"May 09, 2014",Universal Contractors,"$5,312,239"
C-139277,05/20/2019,Island Builders,"$7,046,854"
C-222124,10/10/2015,Global Supply,"$9,643,728"
C-329706,07/21/2015,Bajos LLC,"$3,592,262"
C-363031,"Jul 09, 2016",Global Supply,"$6,914,156"
C-496413,03/09/2018,Construcciones PR,"$507,677"
C-703335,"Mar 20, 2018",Acme Corp,"$8,965,308"
C-672312,"Feb 02, 2016",Universal Contractors,"$4,486,956"
C-242849,"Mar 15, 2019",Construcciones PR,"$8,001,686"
C-234805,03/15/2013,Universal Contractors,"$3,041,206"
C-838291,2019-02-27,Bajos LLC,"$8,749,362"
C-001583,11/02/2017,Acme Corp,"$9,049,408"
C-373359,09/06/2014,Acme Corp,"$7,208,093"
C-821404,"Jan 11, 2018",Global Supply,"$6,997,358"
C-720762,03/20/2019,Marina Holdings,"$5,086,064"
C-160143,"May 13, 2014",Marina Holdings,"$8,099,199"
C-434237,"Sep 23, 2015",Bajos LLC,"$4,395,090"
C-954820,02/17/2017,Servicios Unidos,"$9,133,396"
C-110564,2019-10-21,Construcciones PR,"$9,997,241"
C-385533,05/16/2011,Global Supply,"$1,858,979"
C-950433,2012-11-29,Island Builders,"$8,373,582"
C-283317,2015-06-14,Tech Solutions,"$9,144,108"
C-049210,2015-06-05,Island Builders,"$3,156,552"
C-512931,07/21/2018,Bajos LLC,"$4,447,604"
C-656287,"Jun 20, 2015",Acme Corp,"$2,005,357"
C-538773,2019-07-27,Tech Solutions,"$9,315,724"
C-789951,03/25/2013,Construcciones PR,"$2,047,112"
C-688048,2014-02-04,Servicios Unidos,"$4,628,114"
C-086294,"Nov 23, 2015",Island Builders,"$6,414,884"
C-740928,2018-01-16,Bajos LLC,"$5,538,429"
C-200228,"Mar 23, 2019",Tech Solutions,"$4,014,476"
C-192238,2010-03-19,Tech Solutions,"$6,832,719"
C-929094,"Nov 03, 2010",Construcciones PR,"$1,467,364"
C-950946,10/11/2014,Tech Solutions,"$9,773,598"
C-888285,10/02/2019,Acme Corp,"$6,137,306"
C-992368,10/24/2011,Servicios Unidos,"$3,643,635"
C-723815,02/06/2018,Marina Holdings,"$3,040,870"
C-603219,11/16/2015,Island Builders,"$101,699"
C-454229,08/15/2014,Marina Holdings,"$7,270,957"
C-532521,03/05/2012,Marina Holdings,"$7,647,282"
C-109436,02/28/2013,Global Supply,"$4,927,425"
C-129041,06/15/2019,Bajos LLC,"$7,224,767"
C-267658,06/22/2012,Island Builders,"$1,374,158"
C-262060,"Apr 09, 2015",Universal Contractors,"$5,043,636"
C-061290,2019-02-24,Global Supply,"$9,520,705"
C-896034,2014-07-28,Construcciones PR,"$8,991,435"
C-567971,2013-05-14,Bajos LLC,"$5,638,811"
C-797987,10/10/2018,Bajos LLC,"$8,448,089"
C-681186,"Sep 10, 2010",Construcciones PR,"$8,368,179"
C-188457,07/10/2019,Tech Solutions,"$7,970,812"
C-723449,09/13/2010,Global Supply,"$4,492,740"
C-695316,"Dec 01, 2017",Acme Corp,"$430,592"
C-279233,"Feb 07, 2017",Universal Contractors,"$2,506,245"
C-463907,"Jan 18, 2015",Global Supply,"$4,033,683"
C-183341,"Jan 23, 2010",Servicios Unidos,"$6,625,090"
C-707593,01/31/2012,Universal Contractors,"$69,476"
C-345636,"Jun 17, 2016",Servicios Unidos,"$4,476,068"
C-818059,2015-07-02,Marina Holdings,"$1,526,454"
C-912739,2018-09-19,Bajos LLC,"$4,001,968"
C-294274,09/25/2012,Tech Solutions,"$4,650,393"
C-425561,2012-04-22,Bajos LLC,"$1,722,794"
C-615355,"Sep 14, 2014",Acme Corp,"$1,839,468"
C-902473,"Aug 19, 2017",Construcciones PR,"$1,823,831"
C-857026,2016-12-13,Global Supply,"$8,967,300"
C-647394,06/20/2010,Acme Corp,"$9,820,887"
C-462461,"Jan 14, 2018",Bajos LLC,"$3,006,906"
C-996258,10/27/2016,Bajos LLC,"$668,355"
C-134338,"Aug 21, 2018",Bajos LLC,"$8,674,977"
C-893869,"Jul 01, 2013",Construcciones PR,"$8,580,621"
C-646297,2010-04-07,Servicios Unidos,"$3,884,326"
C-592285,04/18/2016,Construcciones PR,"$243,608"
C-014944,"Sep 10, 2016",Marina Holdings,"$9,023,069"
C-108834,04/03/2012,Servicios Unidos,"$4,824,018"
C-713982,"Jun 15, 2013",Island Builders,"$1,556,285"
C-541525,"Aug 02, 2010",Marina Holdings,"$4,289,838"
C-471348,2010-03-19,Acme Corp,"$5,419,842"
C-517458,2017-05-24,Universal Contractors,"$8,690,844"
C-496183,"Feb 18, 2010",Marina Holdings,"$7,136,925"
C-418460,2014-09-04,Marina Holdings,"$7,331,164"
C-208295,"May 21, 2019",Global Supply,"$6,381,415"
C-344902,06/19/2014,Global Supply,"$249,427"
C-150436,2018-01-24,Acme Corp,"$9,108,285"
C-800617,2012-05-04,Global Supply,"$2,731,344"
C-435803,"Jan 02, 2018",Marina Holdings,"$3,770,652"
C-501366,07/12/2011,Tech Solutions,"$153,517"
C-336375,01/06/2010,Acme Corp,"$5,404,225"
C-361973,05/10/2011,Island Builders,"$3,049,258"
C-673190,06/06/2013,Island Builders,"$3,791,951"
C-535252,06/17/2017,Acme Corp,"$6,056,590"
C-014385,2010-06-16,Acme Corp,"$9,788,266"
C-694713,08/17/2014,Tech Solutions,"$927,980"
C-325405,"Sep 16, 2017",Tech Solutions,"$3,453,902"
C-799321,"Feb 14, 2013",Construcciones PR,"$6,314,654"
C-613290,05/20/2016,Servicios Unidos,"$9,696,482"
C-059146,2011-04-06,Global Supply,"$9,317,052"
C-428384,10/06/2018,Bajos LLC,"$6,419,392"
C-978314,2014-02-28,Universal Contractors,"$8,185,807"
C-339111,2010-11-14,Construcciones PR,"$2,364,169"
C-454146,2016-08-23,Tech Solutions,"$4,536,754"
C-623939,2011-11-23,Bajos LLC,"$9,250,301"
C-647515,2017-02-21,Acme Corp,"$5,498,967"
C-842940,05/13/2017,Island Builders,"$4,595,136"
C-256748,2014-05-22,Tech Solutions,"$5,820,037"
C-866491,"Sep 15, 2015",Island Builders,"$2,436,235"
C-434464,"Aug 19, 2011",Universal Contractors,"$8,052,394"
C-497383,2016-11-22,Acme Corp,"$3,929,025"
C-696167,2017-04-14,Construcciones PR,"$5,717,428"
C-975944,2019-02-18,Servicios Unidos,"$7,353,442"
C-404007,2015-06-06,Island Builders,"$9,127,935"
C-701414,05/31/2019,Tech Solutions,"$5,419,214"
