contract_id,award_date,vendor_name,obligated_amount,agency_name,pop_state,source_file,fiscal_year
C-715307,2015-07-10,Acme Corp,6757187,,,bench_norm_50000,2015
C-920362,2017-06-20,Construcciones PR,691072,,,bench_norm_50000,2017
C-634078,2010-11-21,Tech Solutions,7420311,,,bench_norm_50000,2011
C-537605,2010-06-30,Servicios Unidos,5627713,,,bench_norm_50000,2010
C-843910,2011-04-08,Global Supply,3748068,,,bench_norm_50000,2011
C-458290,2011-05-07,Acme Corp,5284745,,,bench_norm_50000,2011
C-510326,2010-03-27,Universal Contractors,770805,,,bench_norm_50000,2010
C-167413,2015-08-26,Construcciones PR,7387894,,,bench_norm_50000,2015
C-435888,2018-04-17,Bajos LLC,224630,,,bench_norm_50000,2018
C-791277,2011-10-07,Universal Contractors,3319866,,,bench_norm_50000,2012
C-633739,2015-09-15,Servicios Unidos,3396951,,,bench_norm_50000,2015
C-078080,2014-08-09,Tech Solutions,4948725,,,bench_norm_50000,2014
C-632957,2010-10-10,Universal Contractors,7686195,,,bench_norm_50000,2011
C-980207,2016-11-24,Marina Holdings,1504966,,,bench_norm_50000,2017
C-633363,2017-08-02,Global Supply,1115611,,,bench_norm_50000,2017
C-009906,2010-09-22,Universal Contractors,1011361,,,bench_norm_50000,2010
C-799237,2013-01-26,Universal Contractors,4986589,,,bench_norm_50000,2013
C-953735,2018-01-13,Servicios Unidos,101434,,,bench_norm_50000,2018
C-205435,2015-05-20,Island Builders,2188245,,,bench_norm_50000,2015
C-382980,2016-05-23,Bajos LLC,7940082,,,bench_norm_50000,2016
C-677870,2013-07-23,Marina Holdings,4638307,,,bench_norm_50000,2013
C-091892,2013-12-03,Bajos LLC,8197280,,,bench_norm_50000,2014
C-132988,2015-07-06,Construcciones PR,9201055,,,bench_norm_50000,2015
C-544855,2019-10-11,Construcciones PR,4610638,,,bench_norm_50000,2020
C-453467,2015-12-12,Island Builders,7752108,,,bench_norm_50000,2016
C-867313,2013-11-25,Universal Contractors,6837543,,,bench_norm_50000,2014
C-119762,2019-10-25,Island Builders,1909530,,,bench_norm_50000,2020
C-920088,2014-08-29,Island Builders,2015148,,,bench_norm_50000,2014
C-457230,2015-05-04,Servicios Unidos,9614428,,,bench_norm_50000,2015
C-076738,2010-09-20,Universal Contractors,8641715,,,bench_norm_50000,2010
C-297963,2018-06-19,Tech Solutions,7395590,,,bench_norm_50000,2018
C-539096,2019-04-28,Bajos LLC,9090054,,,bench_norm_50000,2019
C-070132,2019-08-07,Marina Holdings,1358180,,,bench_norm_50000,2019
C-719076,2018-04-20,Servicios Unidos,4866777,,,bench_norm_50000,2018
C-056740,2017-01-31,Marina Holdings,2816184,,,bench_norm_50000,2017
C-190814,2013-12-31,Construcciones PR,2163879,,,bench_norm_50000,2014
C-696634,2019-03-11,Tech Solutions,9681394,,,bench_norm_50000,2019
C-753809,2019-12-06,Construcciones PR,927808,,,bench_norm_50000,2020
C-928701,2018-11-25,Global Supply,6872697,,,bench_norm_50000,2019
C-927827,2019-10-03,Acme Corp,8082503,,,bench_norm_50000,2020
C-110926,2018-11-20,Marina Holdings,6556687,,,bench_norm_50000,2019
C-929492,2010-11-08,Construcciones PR,1133216,,,bench_norm_50000,2011
C-501022,2016-04-29,Marina Holdings,1261725,,,bench_norm_50000,2016
C-709117,2012-06-07,Construcciones PR,8410417,,,bench_norm_50000,2012
C-160793,2013-02-15,Island Builders,8717198,,,bench_norm_50000,2013
C-086820,2019-05-31,Construcciones PR,9714082,,,bench_norm_50000,2019
C-133766,2014-05-04,Universal Contractors,7519023,,,bench_norm_50000,2014
C-981803,2012-08-04,Bajos LLC,422324,,,bench_norm_50000,2012
C-648757,2018-02-26,Servicios Unidos,2664597,,,bench_norm_50000,2018
C-798389,2019-12-05,Construcciones PR,3112298,,,bench_norm_50000,2020
C-244518,2016-05-07,Construcciones PR,2230531,,,bench_norm_50000,2016
C-883970,2012-04-02,Global Supply,7363706,,,bench_norm_50000,2012
C-372783,2010-04-29,Universal Contractors,4528826,,,bench_norm_50000,2010
C-552768,2013-01-03,Tech Solutions,8857538,,,bench_norm_50000,2013
C-948078,2010-03-26,Servicios Unidos,363342,,,bench_norm_50000,2010
C-604405,2019-08-27,Construcciones PR,946724,,,bench_norm_50000,2019
C-501978,2017-11-25,Marina Holdings,6795853,,,bench_norm_50000,2018
C-028548,2015-07-01,Island Builders,2456305,,,bench_norm_50000,2015
C-654689,2015-11-11,Universal Contractors,1696669,,,bench_norm_50000,2016
C-384797,2011-11-29,Construcciones PR,9333769,,,bench_norm_50000,2012
C-491905,2012-08-13,Island Builders,5311122,,,bench_norm_50000,2012
C-571568,2010-05-22,Servicios Unidos,3572490,,,bench_norm_50000,2010
C-101957,2012-05-10,Bajos LLC,5933830,,,bench_norm_50000,2012
C-692541,2016-07-07,Servicios Unidos,802905,,,bench_norm_50000,2016
C-898958,2018-08-19,Universal Contractors,7224909,,,bench_norm_50000,2018
C-243962,2012-08-20,Universal Contractors,155834,,,bench_norm_50000,2012
C-283976,2018-07-29,Island Builders,3690517,,,bench_norm_50000,2018
C-739118,2016-09-21,Island Builders,7569494,,,bench_norm_50000,2016
C-158079,2019-03-27,Marina Holdings,1549534,,,bench_norm_50000,2019
C-458016,2010-09-13,Acme Corp,4997016,,,bench_norm_50000,2010
C-769771,2015-09-23,Bajos LLC,9345002,,,bench_norm_50000,2015
C-827019,2010-04-28,Acme Corp,333806,,,bench_norm_50000,2010
C-816453,2017-10-10,Servicios Unidos,252169,,,bench_norm_50000,2018
C-234588,2012-10-10,Bajos LLC,9802141,,,bench_norm_50000,2013
C-616618,2013-09-11,Acme Corp,953078,,,bench_norm_50000,2013
C-962147,2011-06-18,Universal Contractors,7570795,,,bench_norm_50000,2011
C-801148,2014-11-22,Servicios Unidos,3681510,,,bench_norm_50000,2015
C-209479,2014-07-23,Construcciones PR,9123621,,,bench_norm_50000,2014
C-905803,2012-07-27,Universal Contractors,5134412,,,bench_norm_50000,2012
C-697348,2019-11-23,Universal Contractors,5835635,,,bench_norm_50000,2020
C-001843,2018-10-10,Global Supply,2826716,,,bench_norm_50000,2019
C-010860,2018-11-17,Construcciones PR,1300419,,,bench_norm_50000,2019
C-729672,2016-10-05,Tech Solutions,6103068,,,bench_norm_50000,2017
C-912184,2018-06-01,Island Builders,1296843,,,bench_norm_50000,2018
C-444248,2015-06-03,Marina Holdings,8007746,,,bench_norm_50000,2015
C-583150,2012-10-19,Construcciones PR,4691774,,,bench_norm_50000,2013
C-308337,2017-03-23,Island Builders,7841819,,,bench_norm_50000,2017
C-761908,2012-01-22,Construcciones PR,6944536,,,bench_norm_50000,2012
C-211069,2013-08-04,Construcciones PR,519112,,,bench_norm_50000,2013
C-418762,2010-11-27,Acme Corp,550191,,,bench_norm_50000,2011
C-066080,2010-08-28,Acme Corp,852420,,,bench_norm_50000,2010
C-776122,2012-08-01,Tech Solutions,1496923,,,bench_norm_50000,2012
C-625163,2013-05-30,Servicios Unidos,5244381,,,bench_norm_50000,2013
C-201749,2013-12-17,Marina Holdings,3337215,,,bench_norm_50000,2014
C-636640,2012-11-06,Global Supply,5235528,,,bench_norm_50000,2013
C-988784,2017-02-25,Universal Contractors,972090,,,bench_norm_50000,2017
C-454817,2015-10-24,Acme Corp,5673676,,,bench_norm_50000,2016
C-524141,2010-08-24,Marina Holdings,6280926,,,bench_norm_50000,2010
C-168630,2015-08-21,Marina Holdings,8204741,,,bench_norm_50000,2015
C-031680,2011-06-29,Servicios Unidos,5548257,,,bench_norm_50000,2011
C-912394,2014-09-06,Construcciones PR,4842094,,,bench_norm_50000,2014
C-803278,2010-03-25,Tech Solutions,7870643,,,bench_norm_50000,2010
C-795273,2019-04-05,Bajos LLC,2885137,,,bench_norm_50000,2019
C-859957,2013-09-19,Acme Corp,8635204,,,bench_norm_50000,2013
C-576151,2010-02-28,Bajos LLC,9790123,,,bench_norm_50000,2010
C-907104,2015-05-06,Island Builders,7543180,,,bench_norm_50000,2015
C-868815,2016-09-20,Marina Holdings,2944968,,,bench_norm_50000,2016
C-017747,2014-11-21,Bajos LLC,5822749,,,bench_norm_50000,2015
C-186243,2011-10-06,Construcciones PR,6110506,,,bench_norm_50000,2012
C-064594,2010-12-10,Construcciones PR,2299422,,,bench_norm_50000,2011
C-997314,2013-02-20,Universal Contractors,1827399,,,bench_norm_50000,2013
C-327745,2010-03-22,Acme Corp,8754769,,,bench_norm_50000,2010
C-488557,2018-09-26,Island Builders,1455412,,,bench_norm_50000,2018
C-638196,2015-01-18,Tech Solutions,8874729,,,bench_norm_50000,2015
C-523540,2011-06-02,Tech Solutions,1501607,,,bench_norm_50000,2011
C-044595,2010-07-14,Island Builders,9557335,,,bench_norm_50000,2010
C-808168,2012-07-03,Construcciones PR,2041450,,,bench_norm_50000,2012
C-122951,2011-09-18,Global Supply,4642840,,,bench_norm_50000,2011
C-998003,2010-08-16,Servicios Unidos,3065773,,,bench_norm_50000,2010
C-184405,2014-04-10,Tech Solutions,780578,,,bench_norm_50000,2014
C-769564,2017-07-04,Universal Contractors,4168382,,,bench_norm_50000,2017
C-385430,2013-07-09,Marina Holdings,2230026,,,bench_norm_50000,2013
C-896107,2019-12-24,Island Builders,2296882,,,bench_norm_50000,2020
C-969884,2014-06-26,Island Builders,9391734,,,bench_norm_50000,2014
C-451076,2015-12-10,Island Builders,250528,,,bench_norm_50000,2016
C-127290,2015-01-14,Universal Contractors,2544378,,,bench_norm_50000,2015
C-315158,2014-01-03,Construcciones PR,606885,,,bench_norm_50000,2014
C-273169,2014-11-02,Global Supply,7310415,,,bench_norm_50000,2015
C-997556,2016-05-09,Universal Contractors,6346937,,,bench_norm_50000,2016
C-241745,2018-12-10,Global Supply,3205168,,,bench_norm_50000,2019
C-515602,2015-06-23,Tech Solutions,7269,,,bench_norm_50000,2015
C-685098,2018-04-15,Acme Corp,3033339,,,bench_norm_50000,2018
C-978416,2017-03-05,Acme Corp,2377286,,,bench_norm_50000,2017
C-763308,2012-05-25,Island Builders,6595625,,,bench_norm_50000,2012
C-011359,2014-12-19,Island Builders,1365484,,,bench_norm_50000,2015
C-149446,2016-01-09,Construcciones PR,3248991,,,bench_norm_50000,2016
C-549037,2015-03-26,Universal Contractors,9580428,,,bench_norm_50000,2015
C-800657,2018-01-31,Universal Contractors,464254,,,bench_norm_50000,2018
C-395303,2011-03-05,Bajos LLC,142026,,,bench_norm_50000,2011
C-923897,2010-08-19,Acme Corp,2226048,,,bench_norm_50000,2010
C-741586,2016-04-29,Construcciones PR,6280601,,,bench_norm_50000,2016
C-623809,2012-12-04,Tech Solutions,2955961,,,bench_norm_50000,2013
C-075851,2018-04-19,Global Supply,9211816,,,bench_norm_50000,2018
C-792819,2012-06-29,Servicios Unidos,5394726,,,bench_norm_50000,2012
C-876015,2012-11-16,Construcciones PR,7468501,,,bench_norm_50000,2013
C-291268,2016-01-01,Tech Solutions,5682768,,,bench_norm_50000,2016
C-819635,2014-11-17,Bajos LLC,26845,,,bench_norm_50000,2015
C-829441,2013-03-21,Universal Contractors,2719779,,,bench_norm_50000,2013
C-774159,2015-05-10,Global Supply,1378096,,,bench_norm_50000,2015
C-102751,2013-06-03,Tech Solutions,1772135,,,bench_norm_50000,2013
C-679393,2017-01-18,Marina Holdings,4659965,,,bench_norm_50000,2017
C-444417,2011-03-29,Marina Holdings,1801512,,,bench_norm_50000,2011
C-107469,2019-07-18,Servicios Unidos,3825621,,,bench_norm_50000,2019
C-380930,2016-04-05,Island Builders,5050287,,,bench_norm_50000,2016
C-987445,2012-03-18,Acme Corp,8329143,,,bench_norm_50000,2012
C-072666,2013-10-18,Construcciones PR,7092771,,,bench_norm_50000,2014
C-101687,2017-05-24,Acme Corp,1093734,,,bench_norm_50000,2017
C-299125,2014-06-29,Universal Contractors,7897526,,,bench_norm_50000,2014
C-980611,2016-04-24,Bajos LLC,747812,,,bench_norm_50000,2016
C-814341,2016-04-09,Global Supply,5206756,,,bench_norm_50000,2016
C-553337,2014-03-31,Universal Contractors,7706484,,,bench_norm_50000,2014
C-253995,2019-12-19,Island Builders,6587340,,,bench_norm_50000,2020
C-555270,2011-06-08,Servicios Unidos,3593228,,,bench_norm_50000,2011
C-465335,2018-06-09,Servicios Unidos,2684157,,,bench_norm_50000,2018
C-677954,2016-08-25,Universal Contractors,9104369,,,bench_norm_50000,2016
C-479245,2011-06-10,Marina Holdings,2379993,,,bench_norm_50000,2011
C-646524,2017-04-30,Bajos LLC,8998809,,,bench_norm_50000,2017
C-785687,2019-05-29,Bajos LLC,9206941,,,bench_norm_50000,2019
C-778563,2014-12-29,Island Builders,399680,,,bench_norm_50000,2015
C-942524,2016-09-03,Universal Contractors,5656157,,,bench_norm_50000,2016
C-966501,2013-05-04,Acme Corp,3946328,,,bench_norm_50000,2013
C-126982,2010-09-12,Universal Contractors,4308791,,,bench_norm_50000,2010
C-291411,2013-03-27,Marina Holdings,1645176,,,bench_norm_50000,2013
C-945552,2015-09-14,Construcciones PR,4720246,,,bench_norm_50000,2015
C-109479,2018-08-31,Island Builders,3131423,,,bench_norm_50000,2018
C-218831,2010-06-21,Construcciones PR,3630657,,,bench_norm_50000,2010
C-708347,2010-02-03,Global Supply,3726086,,,bench_norm_50000,2010
C-494905,2017-05-16,Construcciones PR,5407853,,,bench_norm_50000,2017
C-908703,2016-02-28,Bajos LLC,3767199,,,bench_norm_50000,2016
C-610497,2010-05-23,Universal Contractors,956624,,,bench_norm_50000,2010
C-079690,2019-07-23,Servicios Unidos,5984112,,,bench_norm_50000,2019
C-125161,2011-02-17,Bajos LLC,7393302,,,bench_norm_50000,2011
C-751347,2018-09-25,Bajos LLC,8411938,,,bench_norm_50000,2018
C-447399,2017-08-21,Universal Contractors,6057048,,,bench_norm_50000,2017
C-528881,2018-12-28,Universal Contractors,2749505,,,bench_norm_50000,2019
C-850168,2013-10-26,Bajos LLC,9525156,,,bench_norm_50000,2014
C-234761,2016-11-01,Island Builders,9108064,,,bench_norm_50000,2017
C-260803,2014-04-14,Marina Holdings,5505510,,,bench_norm_50000,2014
C-006868,2019-12-29,Island Builders,9021302,,,bench_norm_50000,2020
C-003064,2013-07-09,Universal Contractors,3911261,,,bench_norm_50000,2013
C-627481,2016-06-13,Tech Solutions,8905249,,,bench_norm_50000,2016
C-396550,2014-12-25,Servicios Unidos,7476005,,,bench_norm_50000,2015
C-507502,2014-08-25,Servicios Unidos,6716656,,,bench_norm_50000,2014
C-211127,2011-05-27,Construcciones PR,1184307,,,bench_norm_50000,2011
C-630404,2014-12-04,Marina Holdings,9890811,,,bench_norm_50000,2015
C-043061,2010-07-11,Bajos LLC,5677072,,,bench_norm_50000,2010
C-138224,2019-07-21,Servicios Unidos,2324393,,,bench_norm_50000,2019
C-902743,2010-05-30,Tech Solutions,4471071,,,bench_norm_50000,2010
C-086364,2011-06-24,Island Builders,8257805,,,bench_norm_50000,2011
C-078288,2017-06-18,Global Supply,1171200,,,bench_norm_50000,2017
C-307485,2015-08-28,Construcciones PR,2667642,,,bench_norm_50000,2015
C-787913,2019-09-03,Marina Holdings,768892,,,bench_norm_50000,2019
C-950526,2014-11-02,Bajos LLC,3824594,,,bench_norm_50000,2015
C-429247,2014-08-18,Global Supply,749187,,,bench_norm_50000,2014
C-528236,2019-05-01,Marina Holdings,6437520,,,bench_norm_50000,2019
C-039718,2014-12-21,Tech Solutions,9263288,,,bench_norm_50000,2015
C-128144,2012-08-08,Construcciones PR,105109,,,bench_norm_50000,2012
C-332292,2013-03-11,Universal Contractors,5275394,,,bench_norm_50000,2013
C-658247,2012-11-12,Servicios Unidos,9195793,,,bench_norm_50000,2013
C-162549,2010-01-09,Servicios Unidos,8772383,,,bench_norm_50000,2010
C-708143,2019-08-31,Construcciones PR,7073162,,,bench_norm_50000,2019
C-175474,2017-07-16,Acme Corp,3118996,,,bench_norm_50000,2017
C-530955,2013-09-07,Acme Corp,742204,,,bench_norm_50000,2013
C-551110,2012-02-21,Tech Solutions,5467102,,,bench_norm_50000,2012
C-674721,2013-01-29,Island Builders,3829313,,,bench_norm_50000,2013
C-295667,2014-11-05,Global Supply,4396211,,,bench_norm_50000,2015
C-126763,2015-11-04,Construcciones PR,6569887,,,bench_norm_50000,2016
C-485979,2018-05-05,Island Builders,8614760,,,bench_norm_50000,2018
C-693125,2016-07-14,Tech Solutions,121763,,,bench_norm_50000,2016
C-191513,2014-10-28,Bajos LLC,3753017,,,bench_norm_50000,2015
C-136917,2013-05-01,Universal Contractors,882666,,,bench_norm_50000,2013
C-708009,2017-08-10,Bajos LLC,1812051,,,bench_norm_50000,2017
C-094720,2016-01-04,Global Supply,4701684,,,bench_norm_50000,2016
C-970714,2012-01-25,Marina Holdings,7865749,,,bench_norm_50000,2012
C-956673,2018-10-19,Construcciones PR,5416199,,,bench_norm_50000,2019
C-999363,2019-09-29,Bajos LLC,9176010,,,bench_norm_50000,2019
C-490509,2019-07-06,Marina Holdings,436160,,,bench_norm_50000,2019
C-819307,2015-04-22,Bajos LLC,2992532,,,bench_norm_50000,2015
C-957525,2011-04-16,Construcciones PR,4490021,,,bench_norm_50000,2011
C-370620,2019-02-06,Marina Holdings,8747044,,,bench_norm_50000,2019
C-867665,2017-07-01,Tech Solutions,7058067,,,bench_norm_50000,2017
C-351298,2012-09-27,Marina Holdings,694079,,,bench_norm_50000,2012
C-608688,2010-11-27,Marina Holdings,8890841,,,bench_norm_50000,2011
C-344227,2017-07-24,Construcciones PR,402629,,,bench_norm_50000,2017
C-060375,2014-10-08,Global Supply,2552047,,,bench_norm_50000,2015
C-666873,2019-10-10,Tech Solutions,6312881,,,bench_norm_50000,2020
C-637938,2011-02-26,Global Supply,523596,,,bench_norm_50000,2011
C-907714,2012-12-05,Universal Contractors,1874580,,,bench_norm_50000,2013
C-296960,2015-06-27,Island Builders,636833,,,bench_norm_50000,2015
C-968598,2018-09-19,Island Builders,7429596,,,bench_norm_50000,2018
C-304088,2017-01-16,Construcciones PR,8441468,,,bench_norm_50000,2017
C-894911,2019-12-17,Universal Contractors,3923441,,,bench_norm_50000,2020
C-289052,2011-06-01,Tech Solutions,3149770,,,bench_norm_50000,2011
C-966386,2013-08-22,Marina Holdings,7492521,,,bench_norm_50000,2013
C-825980,2014-10-27,Construcciones PR,8437451,,,bench_norm_50000,2015
C-283211,2013-04-15,Island Builders,5120251,,,bench_norm_50000,2013
C-991581,2019-09-23,Servicios Unidos,7646999,,,bench_norm_50000,2019
C-312926,2014-02-27,Acme Corp,1158076,,,bench_norm_50000,2014
C-449621,2014-08-28,Construcciones PR,6753051,,,bench_norm_50000,2014
C-176264,2016-01-18,Marina Holdings,1092107,,,bench_norm_50000,2016
C-670987,2010-07-14,Acme Corp,7533166,,,bench_norm_50000,2010
C-396966,2010-12-28,Marina Holdings,1876403,,,bench_norm_50000,2011
C-455545,2016-04-23,Marina Holdings,7903802,,,bench_norm_50000,2016
C-972215,2017-08-15,Servicios Unidos,1763875,,,bench_norm_50000,2017
C-626944,2018-01-12,Universal Contractors,6118305,,,bench_norm_50000,2018
C-337354,2010-07-02,Tech Solutions,1741055,,,bench_norm_50000,2010
C-574007,2019-12-14,Universal Contractors,5579725,,,bench_norm_50000,2020
C-239621,2014-11-18,Bajos LLC,8171021,,,bench_norm_50000,2015
C-013285,2012-07-03,Construcciones PR,1786768,,,bench_norm_50000,2012
C-408749,2014-11-24,Universal Contractors,6450492,,,bench_norm_50000,2015
C-985755,2017-01-24,Marina Holdings,5077284,,,bench_norm_50000,2017
C-836325,2012-01-26,Island Builders,880037,,,bench_norm_50000,2012
C-406572,2013-01-29,Marina Holdings,8569329,,,bench_norm_50000,2013
C-031953,2016-05-13,Island Builders,9832755,,,bench_norm_50000,2016
C-835128,2019-02-01,Marina Holdings,1795585,,,bench_norm_50000,2019
C-206195,2016-10-05,Marina Holdings,7170647,,,bench_norm_50000,2017
C-096916,2018-05-25,Marina Holdings,9169993,,,bench_norm_50000,2018
C-927468,2016-07-01,Marina Holdings,1385399,,,bench_norm_50000,2016
C-707015,2014-07-22,Universal Contractors,2539721,,,bench_norm_50000,2014
C-808062,2012-01-20,Acme Corp,1322520,,,bench_norm_50000,2012
C-625608,2010-01-01,Global Supply,4950016,,,bench_norm_50000,2010
C-896007,2014-10-04,Tech Solutions,8853555,,,bench_norm_50000,2015
C-696956,2018-05-05,Marina Holdings,2574268,,,bench_norm_50000,2018
C-529047,2019-02-04,Global Supply,9665713,,,bench_norm_50000,2019
C-421412,2016-11-27,Construcciones PR,67763,,,bench_norm_50000,2017
C-711799,2013-04-02,Universal Contractors,5154483,,,bench_norm_50000,2013
C-673814,2014-05-09,Universal Contractors,5312239,,,bench_norm_50000,2014
C-139277,2019-05-20,Island Builders,7046854,,,bench_norm_50000,2019
C-222124,2015-10-10,Global Supply,9643728,,,bench_norm_50000,2016
C-329706,2015-07-21,Bajos LLC,3592262,,,bench_norm_50000,2015
C-363031,2016-07-09,Global Supply,6914156,,,bench_norm_50000,2016
C-496413,2018-03-09,Construcciones PR,507677,,,bench_norm_50000,2018
C-703335,2018-03-20,Acme Corp,8965308,,,bench_norm_50000,2018
C-672312,2016-02-02,Universal Contractors,4486956,,,bench_norm_50000,2016
C-242849,2019-03-15,Construcciones PR,8001686,,,bench_norm_50000,2019
C-234805,2013-03-15,Universal Contractors,3041206,,,bench_norm_50000,2013
