contract_number,Date Signed,Vendor Name,Award Amount
C-542507,2018-10-06,Universal Contractors,"$5,255,192"
C-919657,"Jan 30, 2010",Bajos LLC,"$4,105,892"
C-867293,08/27/2010,Construcciones PR,"$3,047,319"
C-440754,"Aug 27, 2012",Universal Contractors,"$4,010,459"
C-526832,2016-03-01,Acme Corp,"$4,083,396"
C-495023,2019-01-07,Island Builders,"$8,902,458"
C-586012,03/11/2012,Tech Solutions,"$4,874,156"
C-855943,2012-06-23,Island Builders,"$2,107,858"
C-626873,06/13/2018,Global Supply,"$1,394,465"
C-108732,2014-01-28,Island Builders,"$392,410"
C-504066,"Jul 25, 2017",Tech Solutions,"$1,231,336"
C-708481,"Dec 28, 2013",Bajos LLC,"$8,540,379"
C-936903,"Jul 15, 2010",Island Builders,"$9,611,048"
C-743984,"Jan 20, 2014",Universal Contractors,"$1,350,627"
C-951272,"Oct 19, 2014",Island Builders,"$3,194,869"
C-471415,11/14/2013,Acme Corp,"$7,455,759"
C-465065,"Dec 19, 2018",Marina Holdings,"$3,754,250"
C-555089,2014-10-04,Servicios Unidos,"$2,211,764"
C-121193,04/26/2011,Servicios Unidos,"$7,292,107"
C-090127,11/26/2015,Servicios Unidos,"$9,139,120"
C-486894,2016-10-09,Bajos LLC,"$5,875,232"
C-415287,"Jul 22, 2015",Global Supply,"$9,722,501"
C-916137,2012-08-07,Construcciones PR,"$9,657,375"
C-777685,2019-10-13,Servicios Unidos,"$7,204,447"
C-484326,06/06/2012,Acme Corp,"$9,489,960"
C-144255,"Apr 24, 2010",Island Builders,"$8,491,477"
C-322127,10/25/2019,Island Builders,"$7,029,812"
C-259417,09/20/2016,Tech Solutions,"$2,352,023"
C-555802,2011-01-21,Construcciones PR,"$2,957,637"
C-305095,03/31/2014,Bajos LLC,"$9,473,329"
C-136907,09/19/2012,Universal Contractors,"$4,616,006"
C-286256,09/29/2010,Construcciones PR,"$9,712,094"
C-192986,"Jun 24, 2016",Servicios Unidos,"$786,615"
C-824508,"Aug 06, 2018",Global Supply,"$5,999,162"
C-149356,2011-01-24,Construcciones PR,"$3,511,026"
C-704357,2013-09-21,Servicios Unidos,"$2,544,329"
C-935927,03/18/2019,Servicios Unidos,"$5,577,271"
C-976789,"Feb 24, 2011",Acme Corp,"$9,041,425"
C-850154,"Jul 06, 2015",Acme Corp,"$5,299,106"
C-575369,2018-02-10,Acme Corp,"$8,921,742"
C-305010,"Dec 25, 2014",Global Supply,"$2,371,102"
C-683094,11/02/2011,Marina Holdings,"$6,608,676"
C-070445,2018-06-20,Tech Solutions,"$802,812"
C-280128,2013-06-14,Bajos LLC,"$300,005"
C-231760,"Jan 04, 2015",Bajos LLC,"$7,380,486"
C-284387,2013-03-18,Island Builders,"$1,129,180"
C-524339,2011-08-31,Construcciones PR,"$5,519,768"
C-108462,04/02/2019,Servicios Unidos,"$1,903,681"
C-865372,"Aug 28, 2013",Universal Contractors,"$5,517,451"
C-987770,"Jun 24, 2019",Bajos LLC,"$9,435,311"
C-850209,06/26/2015,Global Supply,"$3,823,822"
C-715771,2014-02-22,Marina Holdings,"$9,437,777"
C-594281,2014-02-12,Servicios Unidos,"$5,660,428"
C-181804,"Mar 27, 2011",Bajos LLC,"$6,696,765"
C-054558,"Nov 19, 2017",Construcciones PR,"$906,021"
C-342331,2013-05-11,Global Supply,"$374,863"
C-235320,2011-09-11,Global Supply,"$622,165"
C-515616,03/17/2010,Servicios Unidos,"$4,378,569"
C-700159,"Oct 26, 2014",Marina Holdings,"$467,310"
C-484902,"Jan 18, 2013",Global Supply,"$1,285,322"
C-900382,03/20/2017,Island Builders,"$6,365,278"
C-264632,"Sep 18, 2015",Island Builders,"$7,888,370"
C-823104,"Apr 16, 2010",Acme Corp,"$6,843,939"
C-000246,"Apr 27, 2012",Acme Corp,"$1,516,090"
C-831344,2010-03-13,Universal Contractors,"$1,772,844"
C-008485,2016-12-17,Construcciones PR,"$726,643"
C-493081,"Apr 22, 2014",Island Builders,"$2,558,762"
C-021150,12/30/2013,Island Builders,"$1,793,170"
C-761533,05/26/2019,Construcciones PR,"$4,524,180"
C-033411,"Mar 08, 2019",Island Builders,"$2,652,927"
C-403233,2014-04-25,Servicios Unidos,"$7,371,922"
C-356558,06/24/2019,Construcciones PR,"$3,398,266"
C-253552,"Aug 14, 2018",Bajos LLC,"$412,697"
C-425315,2018-08-28,Marina Holdings,"$5,092,275"
C-616437,"Mar 20, 2012",Island Builders,"$8,782,467"
C-257091,"Apr 30, 2015",Construcciones PR,"$5,611,761"
C-327386,"Nov 30, 2010",Servicios Unidos,"$1,606,245"
C-429545,2017-09-04,Universal Contractors,"$9,554,399"
C-349322,"Dec 20, 2010",Universal Contractors,"$6,775,088"
C-348382,03/07/2019,Construcciones PR,"$2,819,716"
C-344752,2014-06-14,Acme Corp,"$3,932,781"
C-245387,2019-05-27,Marina Holdings,"$501,533"
C-177469,12/02/2019,Bajos LLC,"$987,176"
C-498539,"Feb 28, 2015",Acme Corp,"$5,557,731"
C-153170,2019-06-03,Bajos LLC,"$9,455,048"
C-321165,12/06/2011,Construcciones PR,"$8,160,803"
C-921067,"Dec 26, 2015",Global Supply,"$5,522,701"
C-782627,"Sep 17, 2015",Marina Holdings,"$4,485,599"
C-494124,"Apr 16, 2012",Global Supply,"$9,343,168"
C-129181,2012-09-05,Construcciones PR,"$3,485,550"
C-717213,2017-01-02,Universal Contractors,"$5,371,811"
C-002170,"Aug 02, 2018",Servicios Unidos,"$3,957,412"
C-822084,01/07/2012,Universal Contractors,"$9,426,880"
C-905848,2010-01-15,Construcciones PR,"$1,626,662"
C-735194,2016-09-15,Marina Holdings,"$87,980"
C-858485,"Dec 03, 2012",Acme Corp,"$2,453,027"
C-243772,2011-07-25,Construcciones PR,"$128,031"
C-134729,2010-04-01,Tech Solutions,"$7,118,946"
C-771550,"Dec 15, 2011",Island Builders,"$3,194,599"
C-375616,2012-04-01,Marina Holdings,"$3,496,281"
C-100106,"Sep 10, 2011",Acme Corp,"$4,009,881"
C-106359,"Oct 25, 2019",Acme Corp,"$5,452,734"
C-852981,2012-11-01,Tech Solutions,"$2,708,638"
C-150638,"Aug 19, 2011",Bajos LLC,"$1,775,125"
C-918124,"Oct 17, 2018",Tech Solutions,"$9,669,840"
C-468873,2014-11-28,Servicios Unidos,"$7,313,916"
C-015738,2017-10-15,Universal Contractors,"$9,130,675"
C-822314,"Aug 23, 2014",Servicios Unidos,"$5,105,262"
C-342308,05/19/2012,Bajos LLC,"$9,136,509"
C-792878,"Nov 21, 2015",Marina Holdings,"$2,441,169"
C-317527,2013-06-23,Acme Corp,"$6,310,591"
C-452390,04/28/2019,Island Builders,"$7,691,141"
C-631352,2015-02-24,Global Supply,"$684,521"
C-957002,"Jan 14, 2016",Universal Contractors,"$4,444,475"
C-952453,2017-08-20,Universal Contractors,"$2,997,479"
C-358255,"Apr 30, 2018",Bajos LLC,"$9,433,891"
C-297490,2019-04-04,Tech Solutions,"$641,818"
C-420934,"Dec 10, 2015",Servicios Unidos,"$7,677,800"
C-631138,2015-03-30,Servicios Unidos,"$1,303,966"
C-395875,03/24/2014,Global Supply,"$7,280,069"
C-251250,09/08/2015,Bajos LLC,"$8,441,041"
C-515939,"Apr 20, 2010",Universal Contractors,"$9,015,920"
C-676882,12/05/2010,Tech Solutions,"$3,377,924"
C-041333,05/19/2016,Universal Contractors,"$6,789,969"
C-393557,08/19/2016,Servicios Unidos,"$8,611,188"
C-752158,"Sep 18, 2012",Tech Solutions,"$7,184,845"
C-048307,"Aug 29, 2017",Servicios Unidos,"$2,171,336"
C-210198,"May 23, 2019",Acme Corp,"$8,394,647"
C-774427,11/28/2012,Acme Corp,"$8,845,774"
C-435954,09/29/2014,Servicios Unidos,"$1,405,193"
C-743186,2019-07-12,Universal Contractors,"$1,714,382"
C-236502,07/09/2012,Servicios Unidos,"$1,089,619"
C-321538,2012-04-20,Bajos LLC,"$9,921,481"
C-022693,"Nov 02, 2013",Bajos LLC,"$9,325,706"
C-628593,2017-11-01,Acme Corp,"$1,153,666"
C-385672,"Apr 24, 2010",Construcciones PR,"$7,694,517"
C-769581,2010-11-08,Construcciones PR,"$1,643,666"
C-858205,2014-04-16,Marina Holdings,"$9,650,210"
C-710788,2019-05-21,Universal Contractors,"$566,136"
C-293920,"Oct 12, 2010",Tech Solutions,"$6,918,067"
C-718810,05/10/2010,Acme Corp,"$5,940,667"
C-274257,11/25/2015,Island Builders,"$189,589"
C-957690,06/22/2015,Universal Contractors,"$3,651,257"
C-557266,2016-08-20,Tech Solutions,"$782,898"
C-093558,"Oct 22, 2010",Construcciones PR,"$9,184,009"
C-073525,"Nov 27, 2012",Bajos LLC,"$1,259,691"
C-964896,12/20/2013,Bajos LLC,"$3,807,832"
C-176040,06/08/2013,Tech Solutions,"$5,697,039"
C-839307,12/18/2011,Universal Contractors,"$7,318,577"
C-544158,2014-09-21,Acme Corp,"$6,462,799"
C-110493,04/03/2012,Acme Corp,"$1,710,421"
C-915651,02/24/2012,Tech Solutions,"$8,234,334"
C-764222,"Apr 28, 2014",Servicios Unidos,"$3,469,903"
C-953977,"Apr 17, 2016",Tech Solutions,"$4,279,920"
C-209634,08/07/2016,Bajos LLC,"$7,939,269"
C-015622,08/01/2012,Acme Corp,"$8,172,336"
C-087006,2011-09-04,Global Supply,"$4,726,458"
C-359779,2017-05-22,Construcciones PR,"$3,729,393"
C-586796,01/20/2016,Island Builders,"$4,547,998"
C-147226,2014-03-19,Marina Holdings,"$3,368,427"
C-034373,03/30/2010,Construcciones PR,"$2,998,164"
C-698373,2015-10-16,Global Supply,"$9,584,782"
C-239707,12/01/2015,Bajos LLC,"$4,782,597"
C-809252,"May 27, 2019",Bajos LLC,"$8,381,153"
C-544299,2016-06-14,Servicios Unidos,"$8,236,898"
C-631138,2015-03-28,Marina Holdings,"$2,378,074"
C-326593,08/18/2010,Acme Corp,"$4,575,526"
C-218671,"Mar 26, 2015",Tech Solutions,"$6,677,453"
C-826492,2011-05-06,Marina Holdings,"$1,939,215"
C-774346,2010-05-01,Global Supply,"$3,029,589"
C-562737,"Jan 03, 2018",Bajos LLC,"$3,881,704"
C-168921,"Jan 23, 2013",Servicios Unidos,"$7,410,474"
C-124104,"Jan 18, 2019",Acme Corp,"$1,798,955"
C-630121,09/24/2015,Universal Contractors,"$8,229,693"
C-846657,11/26/2015,Bajos LLC,"$1,550,985"
C-492099,"Sep 26, 2010",Global Supply,"$3,168,071"
C-566886,2018-08-26,Acme Corp,"$3,281,868"
C-829245,"May 18, 2015",Island Builders,"$4,966,246"
C-593552,"Aug 25, 2010",Universal Contractors,"$4,215,506"
C-904978,2012-12-15,Construcciones PR,"$9,563,596"
C-996022,05/13/2012,Universal Contractors,"$2,981,080"
C-466400,04/18/2019,Acme Corp,"$193,427"
C-646061,04/20/2012,Tech Solutions,"$9,555,583"
C-474127,03/27/2018,Global Supply,"$6,984,784"
C-751237,2018-09-26,Island Builders,"$3,438,889"
C-299745,2015-01-25,Construcciones PR,"$9,647,580"
C-423292,2011-02-25,Servicios Unidos,"$5,140,022"
C-566094,12/05/2011,Island Builders,"$6,637,490"
C-155303,2014-04-15,Construcciones PR,"$434,294"
C-385219,06/11/2013,Universal Contractors,"$2,449,932"
C-747162,2014-09-02,Island Builders,"$902,482"
C-357748,"Aug 25, 2011",Servicios Unidos,"$43,871"
C-787089,"Feb 05, 2016",Island Builders,"$1,255,325"
C-937501,2012-12-07,Marina Holdings,"$4,775,890"
C-051503,2011-05-05,Bajos LLC,"$1,998,516"
C-564034,2011-07-18,Universal Contractors,"$2,337,398"
C-532978,09/24/2014,Tech Solutions,"$2,484,629"
C-119977,"Sep 24, 2019",Construcciones PR,"$474,051"
C-339234,"Jun 09, 2019",Bajos LLC,"$9,272,781"
C-408189,"Sep 05, 2014",Acme Corp,"$6,599,769"
C-676490,"Jan 16, 2015",Tech Solutions,"$3,076,423"
C-106797,03/06/2011,Construcciones PR,"$6,454,632"
C-980481,09/21/2015,Marina Holdings,"$5,418,389"
C-696094,01/03/2011,Island Builders,"$3,608,978"
C-022184,2015-11-29,Bajos LLC,"$3,818,946"
C-878594,2014-01-22,Marina Holdings,"$3,994,514"
C-697876,2012-10-07,Island Builders,"$5,891,671"
C-118821,"Jan 12, 2016",Tech Solutions,"$200,828"
C-065416,"Dec 11, 2011",Servicios Unidos,"$8,207,957"
C-255703,10/23/2011,Bajos LLC,"$271,318"
C-757122,2012-09-21,Servicios Unidos,"$8,959,145"
C-844563,"Jun 25, 2014",Universal Contractors,"$1,485,051"
C-632599,03/21/2015,Universal Contractors,"$5,714,721"
C-447392,2018-10-23,Acme Corp,"$898,892"
C-380107,2011-10-05,Tech Solutions,"$6,348,237"
C-826264,02/14/2010,Island Builders,"$2,370,970"
C-973207,2015-06-02,Bajos LLC,"$6,860,985"
C-047229,06/27/2010,Island Builders,"$9,310,436"
C-734365,2019-08-31,Servicios Unidos,"$6,130,334"
C-161737,08/01/2010,Global Supply,"$9,938,507"
C-362383,2014-06-19,Global Supply,"$5,596,931"
C-039906,2011-06-08,Construcciones PR,"$2,605,041"
C-384676,05/12/2019,Tech Solutions,"$1,398,642"
C-456639,2016-04-23,Island Builders,"$3,498,548"
C-671046,"Nov 24, 2011",Servicios Unidos,"$3,194,554"
C-543791,2011-10-04,Island Builders,"$2,250,235"
C-659509,07/10/2016,Tech Solutions,"$5,433,393"
C-735988,"May 08, 2010",Global Supply,"$3,330,834"
C-583874,"Feb 02, 2016",Acme Corp,"$5,612,777"
C-724506,2015-01-16,Universal Contractors,"$8,142,480"
C-376655,02/22/2015,Acme Corp,"$1,489,553"
C-400236,"Oct 01, 2018",Universal Contractors,"$5,581,500"
C-130115,2016-11-17,Universal Contractors,"$2,535,294"
C-878851,"Sep 09, 2019",Bajos LLC,"$7,599,459"
C-482879,"Apr 09, 2015",Universal Contractors,"$1,757,238"
C-804354,"May 09, 2014",Acme Corp,"$7,241,545"
C-957084,2013-05-03,Bajos LLC,"$354,462"
C-541613,"Oct 22, 2019",Universal Contractors,"$1,553,189"
C-513426,2013-07-21,Bajos LLC,"$3,345,073"
C-183514,"Dec 02, 2013",Island Builders,"$8,491,840"
C-621619,08/03/2018,Servicios Unidos,"$7,258,895"
C-711292,2011-04-23,Global Supply,"$8,379,214"
C-210757,10/20/2015,Construcciones PR,"$2,894,998"
C-985325,07/20/2011,Island Builders,"$2,060,983"
C-346743,2012-02-16,Bajos LLC,"$2,808,760"
C-239529,2014-10-09,Construcciones PR,"$4,896,733"
C-812031,"Jun 06, 2014",Acme Corp,"$7,231,858"
C-261969,2014-07-30,Tech Solutions,"$9,054,935"
C-237546,2016-09-20,Universal Contractors,"$837,401"
C-651461,2013-06-20,Servicios Unidos,"$5,778,148"
C-472309,2013-09-25,Global Supply,"$7,263,536"
C-909724,"Nov 28, 2016",Global Supply,"$8,955,718"
C-956137,2012-07-17,Servicios Unidos,"$5,214,482"
C-635285,"Apr 01, 2011",Bajos LLC,"$7,148,329"
C-269138,10/29/2013,Acme Corp,"$4,735,650"
C-630854,03/15/2015,Universal Contractors,"$2,598,689"
C-370948,2017-01-31,Bajos LLC,"$8,545,450"
C-054009,2018-11-07,Island Builders,"$5,737,054"
C-281819,2019-08-04,Servicios Unidos,"$9,704,704"
C-550964,2018-08-23,Island Builders,"$4,205,083"
C-030118,"Jan 20, 2013",Universal Contractors,"$6,661,724"
C-017394,"Dec 10, 2010",Universal Contractors,"$6,114,748"
C-777996,2019-08-11,Construcciones PR,"$45,083"
C-089730,12/08/2011,Bajos LLC,"$4,836,474"
C-186431,04/19/2018,Construcciones PR,"$3,322,720"
C-771530,2012-09-10,Marina Holdings,"$7,766,288"
C-796905,2017-10-15,Bajos LLC,"$7,284,149"
C-157839,2014-07-04,Global Supply,"$6,703,574"
C-509331,03/23/2012,Universal Contractors,"$4,459,087"
C-734977,"May 03, 2010",Servicios Unidos,"$7,145,126"
C-798340,"Mar 31, 2019",Marina Holdings,"$2,708,731"
C-354536,06/30/2013,Servicios Unidos,"$2,739,324"
C-916162,"May 29, 2011",Island Builders,"$4,484,793"
C-799196,02/18/2016,Marina Holdings,"$1,850,568"
C-399650,04/29/2013,Bajos LLC,"$6,155,623"
C-000911,06/26/2017,Construcciones PR,"$8,265,006"
C-562818,12/06/2012,Island Builders,"$9,503,363"
C-161424,2013-07-27,Bajos LLC,"$1,513,625"
C-150429,"Nov 28, 2019",Acme Corp,"$441,554"
C-127478,2014-07-01,Tech Solutions,"$7,059,762"
C-105822,"Jun 17, 2012",Island Builders,"$7,135,872"
C-990971,"Aug 12, 2013",Tech Solutions,"$6,167,089"
C-770224,"Nov 07, 2014",Universal Contractors,"$6,268,150"
C-627418,2016-05-16,Construcciones PR,"$9,363,913"
C-094023,"Jun 15, 2017",Acme Corp,"$5,527,148"
C-695756,"Dec 26, 2016",Acme Corp,"$3,700,515"
C-359158,05/14/2011,Construcciones PR,"$2,681,092"
C-786772,"Jan 21, 2019",Global Supply,"$4,366,618"
C-819703,08/07/2014,Marina Holdings,"$7,448,169"
C-604674,2018-05-14,Servicios Unidos,"$4,533,847"
C-497065,03/25/2013,Acme Corp,"$2,769,878"
C-894462,2016-12-21,Servicios Unidos,"$7,118,490"
C-032211,2011-12-12,Construcciones PR,"$6,767,199"
C-961147,2015-06-24,Servicios Unidos,"$6,201,493"
C-351873,"Aug 25, 2013",Bajos LLC,"$8,491,267"
C-003853,12/12/2016,Acme Corp,"$2,146,400"
C-844013,10/18/2017,Servicios Unidos,"$8,448,708"
C-969360,"Jan 02, 2015",Global Supply,"$8,123,817"
C-124911,"Jul 19, 2011",Universal Contractors,"$4,998,363"
C-422073,08/15/2014,Bajos LLC,"$5,029,885"
C-612570,"Dec 01, 2016",Servicios Unidos,"$9,120,575"
C-597935,12/15/2015,Construcciones PR,"$6,743,922"
C-975930,2010-08-05,Acme Corp,"$2,551,669"
C-911032,2013-09-07,Marina Holdings,"$9,466,666"
C-058219,2017-02-13,Servicios Unidos,"$6,452,561"
C-002589,2018-10-31,Island Builders,"$1,669,710"
C-236737,"Sep 24, 2017",Universal Contractors,"$1,213,986"
C-843082,"Sep 05, 2011",Island Builders,"$7,036,100"
C-137838,"Sep 03, 2012",Universal Contractors,"$960,587"
C-581750,2019-10-04,Acme Corp,"$4,597,239"
C-947897,12/19/2012,Marina Holdings,"$9,423,082"
C-590907,10/17/2010,Construcciones PR,"$9,530,742"
C-499415,2012-01-14,Acme Corp,"$1,255,028"
C-985183,03/28/2012,Universal Contractors,"$4,847,861"
C-166185,2013-09-06,Global Supply,"$6,215,896"
C-192385,2017-05-30,Tech Solutions,"$8,846,586"
C-585306,04/23/2010,Marina Holdings,"$6,373,872"
C-168344,03/21/2012,Servicios Unidos,"$5,558,838"
C-173020,04/06/2012,Marina Holdings,"$8,702,324"
C-387047,2017-03-31,Global Supply,"$3,990,017"
C-248147,"Apr 07, 2015",Construcciones PR,"$6,910,547"
C-228162,2015-05-21,Acme Corp,"$9,580,801"
C-037714,11/02/2017,Universal Contractors,"$9,155,247"
C-089446,"Feb 09, 2017",Bajos LLC,"$7,966,855"
C-140870,"Aug 23, 2016",Universal Contractors,"$3,163,768"
C-751202,"Dec 22, 2019",Construcciones PR,"$8,298,296"
C-641078,01/24/2011,Servicios Unidos,"$6,195,755"
C-360418,10/12/2014,Global Supply,"$7,627,286"
C-820280,"Dec 25, 2014",Bajos LLC,"$5,053,730"
C-805711,"Jun 09, 2014",Island Builders,"$8,381,137"
C-983117,"Oct 24, 2012",Island Builders,"$8,639,694"
C-576539,2010-12-08,Acme Corp,"$5,128,353"
C-112549,2013-05-16,Universal Contractors,"$692,378"
C-233404,2010-04-12,Acme Corp,"$5,702,647"
C-088204,04/22/2018,Servicios Unidos,"$8,222,555"
C-153836,08/10/2010,Bajos LLC,"$9,550,398"
C-741332,"Oct 12, 2016",Tech Solutions,"$5,204,756"
C-631602,"Jul 24, 2018",Servicios Unidos,"$9,399,075"
C-383141,2015-11-16,Servicios Unidos,"$3,789,506"
C-816071,2012-06-12,Marina Holdings,"$6,950,538"
C-056958,"Nov 17, 2014",Construcciones PR,"$7,410,691"
C-539600,04/22/2016,Island Builders,"$3,419,072"
C-849217,11/15/2011,Universal Contractors,"$8,863,819"
C-210562,2011-05-29,Acme Corp,"$695,822"
C-238252,2010-01-10,Servicios Unidos,"$8,969,509"
C-265061,09/18/2010,Marina Holdings,"$8,420,837"
C-945889,2013-03-14,Bajos LLC,"$2,744,442"
C-598787,12/23/2018,Marina Holdings,"$4,656,753"
C-929824,11/29/2012,Bajos LLC,"$7,329,851"
C-032604,"Oct 05, 2018",Marina Holdings,"$8,304,635"
C-719369,2010-01-05,Bajos LLC,"$5,866,167"
C-606119,10/14/2012,Universal Contractors,"$5,482,148"
C-410832,10/31/2015,Universal Contractors,"$6,873,557"
C-447586,"Dec 04, 2012",Bajos LLC,"$5,792,605"
C-502202,2018-08-31,Global Supply,"$7,485,367"
C-974100,10/04/2010,Servicios Unidos,"$3,470,531"
C-426552,10/30/2018,Island Builders,"$6,744,721"
C-417051,08/12/2015,Construcciones PR,"$9,369,223"
C-596733,09/25/2014,Global Supply,"$9,320,779"
C-698039,2018-03-12,Global Supply,"$5,583,211"
C-059279,"Aug 01, 2013",Construcciones PR,"$1,953,250"
C-820576,09/22/2017,Construcciones PR,"$4,935,328"
C-229679,11/18/2013,Servicios Unidos,"$9,022,195"
C-871159,"Nov 19, 2016",Global Supply,"$7,530,495"
C-900011,"Jul 11, 2017",Marina Holdings,"$9,291,446"
C-245769,"Dec 29, 2016",Acme Corp,"$9,156,414"
C-042485,"Dec 20, 2011",Tech Solutions,"$2,984,053"
C-553531,09/15/2011,Island Builders,"$8,049,428"
C-957204,10/18/2018,Servicios Unidos,"$8,013,510"
C-576246,2013-04-17,Acme Corp,"$7,267,110"
C-518890,"Apr 30, 2018",Global Supply,"$7,385,541"
C-637562,04/30/2011,Tech Solutions,"$873,464"
C-652568,2017-12-15,Construcciones PR,"$6,755,909"
C-504227,"Nov 20, 2010",Bajos LLC,"$1,166,856"
C-718296,11/16/2015,Global Supply,"$9,610,936"
C-972939,08/23/2019,Global Supply,"$5,924,642"
C-595710,11/05/2013,Tech Solutions,"$1,264,496"
C-671327,"May 31, 2019",Tech Solutions,"$9,041,459"
C-829469,03/04/2010,Global Supply,"$6,128,393"
C-741185,08/16/2019,Island Builders,"$2,312,518"
C-496646,2018-04-01,Bajos LLC,"$7,900,259"
C-313770,09/13/2015,Global Supply,"$4,495,992"
C-133442,"Sep 23, 2016",Tech Solutions,"$5,672,576"
C-329170,"Jun 05, 2018",Servicios Unidos,"$4,132,220"
C-200911,2016-08-07,Universal Contractors,"$5,653,462"
C-313166,2015-02-03,Acme Corp,"$4,873,039"
C-776030,"Jul 28, 2011",Construcciones PR,"$2,758,044"
C-360610,"Oct 20, 2013",Universal Contractors,"$4,689,081"
C-725725,2011-01-12,Servicios Unidos,"$9,283,929"
C-061070,"Feb 13, 2014",Marina Holdings,"$6,010,416"
C-514196,08/04/2012,Servicios Unidos,"$840,306"
C-019907,2019-02-21,Construcciones PR,"$5,837,893"
C-844393,02/25/2012,Bajos LLC,"$1,650,390"
C-793938,2013-03-05,Bajos LLC,"$773,351"
C-159385,2018-09-19,Universal Contractors,"$4,515,380"
C-502862,2015-05-06,Marina Holdings,"$4,002,939"
C-085420,"Jan 28, 2019",Acme Corp,"$6,955,765"
C-787085,11/24/2016,Island Builders,"$9,613,532"
C-590111,"Nov 30, 2014",Construcciones PR,"$5,481,310"
C-354073,2011-02-04,Tech Solutions,"$5,287,703"
C-533609,"Feb 13, 2017",Global Supply,"$2,992,177"
C-897024,04/27/2015,Tech Solutions,"$5,658,913"
C-413344,2010-11-26,Acme Corp,"$6,426,106"
C-635794,2017-09-09,Global Supply,"$8,528,992"
C-918926,04/04/2016,Marina Holdings,"$2,354,329"
C-635081,08/10/2016,Global Supply,"$2,610,586"
C-179252,2013-04-14,Tech Solutions,"$3,122,359"
C-401923,02/22/2018,Universal Contractors,"$4,592,432"
C-466877,04/03/2013,Universal Contractors,"$8,909,549"
C-192426,"Dec 16, 2019",Bajos LLC,"$3,862,441"
C-494385,11/16/2013,Global Supply,"$2,848,179"
C-221391,06/05/2015,Bajos LLC,"$4,974,708"
C-056539,2010-06-28,Bajos LLC,"$286,476"
C-465547,"Mar 17, 2011",Servicios Unidos,"$6,208,904"
C-873689,03/27/2015,Acme Corp,"$3,486,314"
C-809534,"Aug 18, 2016",Island Builders,"$5,853,047"
C-577766,"Oct 05, 2018",Universal Contractors,"$6,955,140"
C-681886,"Jun 15, 2015",Servicios Unidos,"$3,905,443"
C-211207,"Jul 19, 2011",Tech Solutions,"$3,731,521"
C-040563,12/18/2019,Construcciones PR,"$8,539,682"
C-061661,05/29/2010,Servicios Unidos,"$4,504,513"
C-253189,"Jul 25, 2019",Construcciones PR,"$651,190"
C-917307,2015-03-28,Global Supply,"$8,381,149"
C-058317,"Sep 24, 2011",Marina Holdings,"$3,246,177"
C-328733,"Nov 23, 2014",Construcciones PR,"$7,012,767"
C-018280,"Jun 04, 2011",Universal Contractors,"$8,840,329"
C-987592,"Jan 03, 2019",Tech Solutions,"$8,413,169"
C-803421,2012-03-10,Construcciones PR,"$1,542,919"
C-094144,"Apr 14, 2014",Servicios Unidos,"$5,416,447"
C-439815,02/16/2011,Tech Solutions,"$5,774,655"
C-819578,"Feb 03, 2016",Island Builders,"$2,483,170"
C-813085,2012-01-15,Servicios Unidos,"$3,641,150"
C-991295,2016-05-29,Island Builders,"$7,446,643"
C-013885,2016-05-01,Universal Contractors,"$3,416,037"
